Number,Frame #,isReplay,Camera Angle,Condensed Views,isRace,isRedBull,isToroRosso,isMercedes,isFerrari,isMcLaren,isRenault,isWilliams,isHaas,isRacingPoint,isAlfaRomeo,,,,,
0000003600,frame_3600,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003650,frame_3650,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003700,frame_3700,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003750,frame_3750,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003800,frame_3800,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003850,frame_3850,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003900,frame_3900,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000003950,frame_3950,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004000,frame_4000,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004050,frame_4050,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004100,frame_4100,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004150,frame_4150,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004200,frame_4200,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004250,frame_4250,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004300,frame_4300,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004350,frame_4350,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004400,frame_4400,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004450,frame_4450,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004500,frame_4500,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004550,frame_4550,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004600,frame_4600,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004650,frame_4650,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004700,frame_4700,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004750,frame_4750,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004800,frame_4800,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004850,frame_4850,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004900,frame_4900,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000004950,frame_4950,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005000,frame_5000,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005050,frame_5050,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005100,frame_5100,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005150,frame_5150,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005200,frame_5200,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005250,frame_5250,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005300,frame_5300,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005350,frame_5350,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005400,frame_5400,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005450,frame_5450,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005500,frame_5500,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005550,frame_5550,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005600,frame_5600,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005650,frame_5650,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005700,frame_5700,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005750,frame_5750,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005800,frame_5800,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005850,frame_5850,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005900,frame_5900,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000005950,frame_5950,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006000,frame_6000,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006050,frame_6050,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006100,frame_6100,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006150,frame_6150,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006200,frame_6200,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006250,frame_6250,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006300,frame_6300,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006350,frame_6350,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006400,frame_6400,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006450,frame_6450,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006500,frame_6500,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006550,frame_6550,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006600,frame_6600,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006650,frame_6650,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006700,frame_6700,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006750,frame_6750,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006800,frame_6800,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006850,frame_6850,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006900,frame_6900,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000006950,frame_6950,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007000,frame_7000,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007050,frame_7050,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007100,frame_7100,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007150,frame_7150,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007200,frame_7200,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007250,frame_7250,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007300,frame_7300,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007350,frame_7350,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
0000007400,frame_7400,FALSE,isIntroductionView,isOtherView,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
